content,label
@Jedbob67 @GlasgowCC @NicolaSturgeon @jeremycorbyn @policescotland Cheer up pal 😂👍🇬🇧,0
"@AllisonMorris1 Completely - not defending him but it does remind me of a lot of cases that are thrown/nearly thrown out of court because of social media attention &amp; ppl not realising that there’s things they can’t post legally, esp angers me when they say ”why won’t the news report on this?” 🙄",0
@travisalabanza @mimmymum @PGUK @MrDuncanJames @MumsnetTowers @TransActualUK @OnlineTransHate @stophateuk @GalopUK @DitchtheLabel @appghatecrime @APPGLGBT @CommissionCE I'm so sorry you have to deal with that Travis :(,0
@RealDrDana @_aaalison__ @Medium @sadydoyle @JessicaValenti @rgay See my previous answer. His ideology is evil. I don't believe he necessarily is...I'm sure he thought was he was doing there was in the service of good. But it wasn't.,0
"@AQuivershaft @JessicaValenti I was posting that mainly because I know you can't appeal Not Guilty because that's double jeopardy, so I was confused about the reversal.",0
@DendriteChirp @amypop @JessicaValenti Appropriate gif for a very real unscripted not funny situation,0
@PeterNicoll7 It’s time @NicolaSturgeon,0
From @JessicaValenti ---&gt; Pregnant Women Who Are Assaulted Are Being Treated Like Criminals — Not Victims: https://t.co/hwGp58PaKW,0
"@amoshmarie @vulture @Splitsider @TheIBang @JessicaValenti @rgay It's not just the bookers, it also fans. All six shows are sold out.",0
"@BBCandrewkerr @NicolaSturgeon Serious question Andrew, Did you snigger when he said it?",0
@cad6711 @AOC @icaito @SpeakerPelosi Key word here “heard”...,0
@charliekirk11 @AOC This is terrifying.  That poor little girl.,0
@UnburntWitch I am concerned.,0
@JohnQui49722244 @AllisonMorris1 @irish_news Liking and retweeting your own tweets 🙄👎,0
@foshtown @macfadyenangus @Derych @NicolaSturgeon I have a mean streak too... Helps when planning to win.. 😉😉,0
"@JanKubis @angeleyes_1980 @Pink @NicolaSturgeon Yes, they probably are. They do seem to be the only ones encountering any serious problems with Scottish banknotes. Can't say I've ever experienced real anti-Scottish hostility either. Maybe it's their own attitudes which need attention. Byety-bye, bhoy 😁",0
@spacetwinks @UnburntWitch I read that issue its insanely good and terrifyingly relevant.,0
@picklepikkl @UnburntWitch no they're right,0
@JessicaValenti It’s not rape unless there’s a gun involved??? What the fuck,0
"@NicolaSturgeon @STVColin @Jeremy_Hunt Asked by an audience member if he's willing to face the SNP head-on and protect the union, Jeremy Hunt replies: 'Yes I am.'

Then he's asked if he'd enter into an electoral pact with Farage. Hunt says the only way to deal with the Brexit party is 'to Brexit'. 

Johnson now up... https://t.co/8OCTRLVwsb",0
@NConway2 @kezdugdale More investment is vital- wherever it comes from. Very worrying therefore that some Scottish councils are cutting their homelessness budgets by millions of pounds just when we need to be investing in prevention.,0
"@paintbynotes @JessInTexas1 @TenNamesLater @VRKurosawa @mark_mercier @LindseyGrahamSC @AOC @HouseDemocrats Well, crap even Snopes says it's True that Obama did it,

https://t.co/WLbbkFQ72f",0
@UnburntWitch aaaaaaaa oh god i still have scars,0
@YolandeMarie2 @413LifeOf @JessicaValenti I dont think that is necessary. The judge is from a nice family and has good test scores. We wouldn't want to hurt his future...,0
"@ForresDee @moocowe @scotlandinunion @pamela_nash @NicolaSturgeon Actually, the question is worded in a more biased way does have an effect on voting intention.",0
@JessicaValenti THIS A LIE RIP YOUR CHUBBY CAT WHO NAME I FORGOT,1
@OorDayHasCame @babybropatto @darini001 @NicolaSturgeon I know - it protrudes her nose - typical Tory one 🤥,1
@PetuniaCatLand @yona1959 @CageTheErumpent @ScotlandChooses @NicolaSturgeon Karen white self iding isn't an issue though. It's the prison system fucking up and letting a trans prisoner with a clearly documented history of violent assaults on women mingle with gen pop.,0
"@NicolaSturgeon @JeaneF1MSP You don't need an investigation that will conveniently Bury it for a couple of years and take the heat off the snp, somebody knows who's responsible.",0
"@cilla1949 @Tihanygirl @ISambaman @GlasgowMystery @GlennBBC @NicolaSturgeon @theresa_may Well you should learn sbout what the SNP spends the budget on before parading your ignorance over social media. What is your opinion on the appointment of a minister of Europe, Migration and International Development and the associated funding?",0
@UnburntWitch I didn't really know anything about it before I started watching on netflix and the intro alone just threw me for a loop.  Was still really interesting though.,0
"@call_me_cathy @NicolaSturgeon I'm a bit confused: feeling like the context of my words are irrelevant, but the context of your words matter 😕
I have no wish to argue with you and while we clearly won't agree, I am still sorry tht I've upset you. 
Take care Cathy x",0
"@Dunnezo @saikatc @AOC @RashidaTlaib @AyannaPressley @IlhanMN I haven’t said anything to you in about an hour, we were having a conversation. Stop flattering yourself. Lolll.",0
@TriggerCalvert @RidgeOnSunday @SophyRidgeSky @NicolaSturgeon @PhilipHammondUK @hmtreasury @UKGovScotland You do it would be part of the withdrawal agreement parliment won't let you leave without taking some of the liability debt wise.,0
@Toby1k @Snugglekins76 @KTMSays @RichTD5 @stephenfry @EverydaySexism I mean it. I want to understand,0
@NicolaSturgeon A limited PM with a small world view! She’s yesterday’s news but she leaves a dreadful legacy across the British Isles. But has served our purpose here in Scotland very well. Forward to independence!!!!,0
@HTScotPol These people do more for the Union than anyone else 🤣 thank you @NicolaSturgeon &amp; @theSNP 👏 🇬🇧+🏴󠁧󠁢󠁳󠁣󠁴󠁿,0
@Gcrfc1984 @PeterAdamSmith @itvnews @NicolaSturgeon Suggesting??,0
"@AllisonMorris1 @irish_news Great article Allison, the addressing of legacy issues is one of the major hindrances in our society not moving forward, the fact that so many victims are still seeking a closure of sorts is a failure of us all, 
If victim groups were less splintered maybe it would help.",0
@Dominique_ITV @itvnews @NicolaSturgeon @BorisJohnson @Jeremy_Hunt Plenty of volunteer drivers I bet.,0
@heraldscotland @joswinson @NicolaSturgeon You get more realistic political discourse in the Beano these days.,0
"@WingsScotland @mar_vickers @NicolaSturgeon To selectively pull out one part to prove a point, rather than attach the origional video and give an opinion on that.

When asked to link to the original video, Mar refused.

Now I know why I keep out of this type of debate. And I thought that indyref was bitter.",0
"@BranPavokovic @cindershad0w @UnburntWitch You still haven’t actually provided any evidence of cement.
You keep saying it but that doesn’t actually make it true.",0
"@Purpliser @TGMD81 @NicolaSturgeon Go on then, I'll bite:

What have I said that could possibly be construed as ""defending"" anyone?

What am I saying? You make stuff up, doncha?",0
@DanielleDASH Can you keep your voice down plz,1
@ka8895 @NicolaSturgeon @JeaneF1MSP And even then there will always be snagging issues at each stage.,0
@billyt501 @kezdugdale @patrickharvie @THTScotland Billy are you shorter than Patrick? 👀,0
@Kilky43 @IsaNamee @Maureen6Johnson @The_Flufter @dj_forrester @Bibbeth6 @NicolaSturgeon Really ?,0
@siwatkins @NicolaSturgeon What a load of rubbish. Most people I spoke to wanted less devo if anything in order to limit the legislative power of the SNP. This whole devo business was a completely betrayal by the UK Government to those of us who campaigned for no.,0
If I can’t dress like a little whore I’m not interested in going,1
"@EverydaySexism Agreed. This is an issue between these guys and the media that exposed them, not that people go around falsely accusing others for fun times.",0
Eww these women are butt ugly lol I'm actually laughing my head of lol 😂#ENGCMR,1
I think this bitch drugged my shit 😭,1
"Cuando nadie te apoya ni cree en ti pero tu si debes de creer en ellos y apoyarlos en todo 
fuck bitch no🖕",1
@RosannaPansino @JoeyGraceffa  @EscapeTheNight  why be killed my friends @ColleenB123 u r oh ok,0
"@andretolstoi74 @gmfus @MilevskaTanja @Sekerinska And that aside, what the tourists see, is butt-ugly, estethic-free, cheap plaster. Made by failed artists and executed by the construction mafia. They've removed what was authentic architecture of Skopje in attempt to reimagine our history simply because they were not part of it.",0
"Bitch I do rich shit, my money thick thick",1
"@FoxDefeated @UnburntWitch none, this is What If? number 44, a single issue. hell of a single issue",0
"@UnburntWitch So, what's the outcome to this absolute ideological impasse? Right vs left How is this to proceed? How many have to lose life or freedom to end this? The outcome? Who knows, but we won't get there with little street clashes and weak ass doxing or Twitter typing battles",0
"@a_wood20 @AllisonMorris1 Boris wouldn't risk a GE, because I think there would be a hung parliament, with potentially the SNP holding the balance of power, that would kill Brexit.",0
@KTMSays @Toby1k @SpiritOfTroi @RichTD5 @stephenfry @EverydaySexism The Supreme Court didn't acquit Amanda Knox of all charges either. It confirmed her conviction for calunnia. She tried to frame an innocent man for sexual assault and murder - which is a serious crime.,0
"@carmic3 @angeleyes_1980 @Pink @NicolaSturgeon Now if seperatist Scotland had its own bawbee  currency, English shops would be falling over themselves to accept it.",0
@soonerscorpio @NinjAsylum_ @JessicaValenti @kungfusquirrel The prosecutor is the one trying to get this monster tried as an adult.,0
@Sazarah_76 @Kelzedar @SofonisbaAngui7 @NicolaSturgeon How is asking a question picking on people?  You’re very er.....delicate aren’t you?,1
"@hdmtnryder @patmcdonald59 @BernieSanders @AOC Except that most people barely move or trade their 401k and retirement plans. Student loan interest isn’t the lowest it can go. It’s not jealousy, it’s awareness of how the bank bailout worked",0
@adejeon FUCK YOU WHORE,1
@rosscolquhoun @NicolaSturgeon You might want to revise the figure on your front page #LiarsForIndy https://t.co/Z1pHRHdn8q,0
"@JennyGilruth @tavishscott @kezdugdale Looking remarkably alert, all things considered! Congrats, both.",0
"@mutualouie is a fucking whore, spread the word",1
unblock me when u see this u ugly dyke,1
@BTS_twt This bitch bought them gems https://t.co/lPUvG6O7Fb,1
hanzo looks like a dirty fucking chicken and you know it,1
Fucking bitch 😤 https://t.co/kl2A7p2cau,1
@Steve_Mac112 @NicolaSturgeon Exactly how I feeel,0
@AllisonMorris1 @johnfinucane Why could it not be spoken of? Seems odd,0
@AllisonMorris1 @Ciara87C Gorgonzolas on the Lagan. Whatever next?,0
@CraigDavidson85 @kezdugdale @scottishlabour Thanks a lot Craig - let us know what you think of our other episodes😁,0
@JessicaValenti @DanKaszeta Atrocious!!,0
@UnburntWitch I love the house hippo,0
"@Feorlean @WattsWilma @NicolaSturgeon Let's get it right you were negotiating in good faith while @theresa_may @DavidMundellDCT @RuthDavidsonMSP were stabbing you in the back with lies &amp; bullshit for 3 years, Its time for Scotland fight agains these Vagabonds that attempt to destroy our society for there gain.",0
@niven_govinden @DanielleDASH 💛💛💛,0
@wetwipes1 @RichTD5 @stephenfry @EverydaySexism Johnny Depp is still employed and raking in money. Harvey Weinstein absued nearly 100 women. How are these comparable?,0
@UnburntWitch Only fascist I'm seeing Is you,0
@UnburntWitch It's a logarithmic scale! Each full number is ten times stronger than the previous. Scary shit.,0
"@michellegray75 @WilliamMacint @HeleneG46816352 @CMonaghanSNP @cineworld @scotgov @theSNP @ScottishFA @kezdugdale When an inquiry is set up, it should be all encompassing. My belief is that there is still a lot hidden away which when uncovered will show that this was a UK wide operation, with no base, but plenty of operatives.",0
"@Selinaberry @EverydaySexism I booked a holiday in my name, I paid for it from my bank account, listed the rest of the family travelling as requested. All confirmation details and correspondence in my husband’s name 🤷‍♀️",0
"@Wimbledon @NicolaSturgeon @andy_murray @serenawilliams What would be even more unique is the the leader of a party that wants to unite Scotland, should start to do something about the main reason that causes its divide. I’m sure our country could be doing more with the hundreds of thousands it subsidises to sponsor a hate fest.",0
@AllisonMorris1 @irish_news Obviously Allison but this sentiment has to be said all the time in N Ireland. Pointless repeating yourself when certain people will never listen?,0
@amypop @JessicaValenti Just plain wrong on every level.,0
@JessicaValenti @mikeduncan Why was this tried in family court? What the hell is going on here?,0
@travisalabanza Fuck em all,0
"@AllisonMorris1 Because at heart, even in a place they wouldn’t admit even to themselves, they’re racist. They really don’t think brown babies are worth the same as white ones. In some ways it’s remarkably simple and horrifying.",0
"@JessicaValenti @AndyRichter I am 100% against rape and think it is one of the worst things you can do to a person, but someone ought to rape this judge.",1
"@ian206260 @13_moths @UnburntWitch No, but hitting someone over the head with a blunt object could be, it's at least assault with a deadly weapon, attempted manslaughter maybe... I like how everyone tries to focus on the milkshakes, like that's all that happened. The milkshakes might fall under simple assault.",0
@BullTranscended @Medium @sadydoyle @JessicaValenti @rgay To be expected.,0
"@GasGilligan @NicolaSturgeon @irlembberlin @bpol_b if you don't get your fighter off the Death star before it blows to a million spectacular pieces, lighting up the screen, you end up getting blown to shite with it. Haven't you seen all those sci fi movies where they get away in the nick of time? This is that moment!Buckle up!",0
@spookysquid @SmartGuyRyan @UnburntWitch OH MY GOSH,0
@AOC Poorly Attended???? Wow is there no lie you won’t tell,0
@GregWildSmith @Canilope13 @MargarerEdwards @UnburntWitch But they can be soo...maybe throwing stuff at peoole should he left to toddlers and the mentally disabled and not adults who have their feelings hurt over words?,0
@ChrisTaylor0183 @PeterGrantMP @theSNP @NicolaSturgeon @ChrisTaylor0183 Can you tell me how many arrests there were today? Just curious because I have seen reports that there were several arrests at orange order marches yesterday and just wanted a comparison 🤔🤔,0
@KeiraJaneReed @UnburntWitch Can you give me a link? I want to see it.,0
"@tiecampaign @RhiannonV @ScotParl @MonicaLennon7 @GailRossSNP @patrickharvie @agcolehamilton @RonaMackayMSP @pauline4glasgow @Ross_Greer @LabourRichard @JennyGilruth @kezdugdale That was one year ago? :o Wow, the year moved fast",0
"@kezdugdale with a passionate speech covering the Stonewall Riots, current intolerance and hate crime and importantly, her commitment as a feminist to trans inclusion. @ScotParl will be poorer without her passion for equality #50YearsScotland https://t.co/aEwGMzLXdI",0
"@DanielleDASH FFS, it actually me.",0
"@marktheedge @Hands_4_Helping @lsferguson @T_S_P_O_O_K_Y @AOC You fail to mention how many local news networks are owned by Sinclair-who pushes propaganda to the masses. Also you can’t compare CNN, PBS, MSNBC, etc. to Fox. Yes, they lean left in many cases-but they are actual news programs that generally report the truth unlike Fox.",0
@Ironhyde2k11 @cilla1949 @ISambaman @GlasgowMystery @GlennBBC @NicolaSturgeon @theresa_may Can’t see it.,0
@BelTel @irish_news @BBCNewsNI @LisburnStar @SJAMcBride @duponline @UUPonline @SDLPlive @AllisonMorris1 Traffic Chaos on Knockmore Road Lisburn. @lisburnccc  granted permission for Home Bargains store without the necessary Road Junction upgrade. #Lisburn https://t.co/jpq59IyrQS,0
"@joshjame @AOC @IlhanMN @AyannaPressley @RashidaTlaib Weird flex, but ok",0
"@Chr1stinaG @NicolaSturgeon so without meaning to sound rude, I presume that you are a trans-woman? I find this conversation very antagonising and I do not wish it to be so",0
"@KenKardashain @Glenn2487 @JohnPaulWhearty @BBCTalkback @BBCNolan @BenLowry2 @AllisonMorris1 Yes I never saw his name on the list, I dont think he would be welcome anyway.",0
@m0rnutz @TScourge93 @UnburntWitch Nah shes a fucken grub.,1
"@JessicaValenti I can't believe that I can still find the shit I hear in the news today shocking, but I guess I am more naive than I thought - this judge is absolutely evil.",0
@GlennBBC @Jeremy_Hunt @NicolaSturgeon He's going to join the army?,0
@JessicaValenti @Tomahawk_Chops this is the idea some people presented to me in regards to the man who assaulted me,0
"@BBCandrewkerr @NicolaSturgeon Basically, this all revolves round Johnson's plan to make himself the minister for the union where he will approach the job, much as he did the foreign office, with contempt and bluster and the result will be that he will drive Scotland to taking independence unilaterally.",0
"@Liafuckrbhisss @JessicaValenti @denizoce I am sorry to hear that. I can understand you are angry. Never experienced anything myself but I do get angry at the sheer amount of people who get totally off the hook. I strongly believe in humane prisons, but I don't believe people should walk free. An affront to the victim.",0
@AOC Your view of the world is very skewed. When you grow up a little maybe real voters not brainwashed college children that do not vote might listen to what u have to say. But it’s doubtful you will still be a member of Congress. Unless you children tear up the constitution.,1
@Hoover_UK Any particular reason why the 'Business' section of wash programmes in your Wizard app only has options for men's clothing? @EverydaySexism,0
@idmann45 @rcookdallas @hoyarugger @lreneemarsh @Offensiveattack @QTRResearch @AOC You’re right. Trump golf trips have cost taxpayers MORE THAN 3 times that of the SC. https://t.co/SUEmbkqxp1,0
"@UnburntWitch I mean, I feel like you forgot what fascism is a long time ago",0
@nevsprada @Royal__Reporter @NicolaSturgeon Even though I'm am avid royalist that's a fair point you make and i respect your opinion,0
@KieranPAndrews @kezdugdale @jeremycorbyn @theSNP We're way beyond Independence being 'allowed' by an English PM.,0
@ilanakats @JessicaValenti Retired,0
"@JAngello85 @AOC @TeamPelosi Let me see if I can explain this simply to you.  Law = Congress, Police = Trump.  Tell her to fix the laws that she is responsible for as a member of congress and stop blaming the President for doing his job enforcing them.",0
@icecoldbulmers @AllisonMorris1 @johnfinucane 😂😂😂😂😂 you can’t win the argument you resort to the bigot card. I’l leave you to it pal all the best ✋,0
@notdred @SharkFu He was so annoying post debates!,0
@Snewsma @AgentP22 @NicolaSturgeon A crowd of racists. Open to all? What a joke. So anti English. You should be ashamed,0
@jangoodell @JessicaValenti All victims end up serving the harsh life sentence in cases such as this. Criminal justice system sees to it. (I am deeply sorry for your family’s tragedy &amp; loss of your niece ♥️),0
"@J_TrumpIN @Marita_1010 Agree with some reservations, he is far to tolerant with the ANC permitting white farmers to be killed and tortured.",0
@ChicoMagee @mackay_87 @azraelSovereign @NicolaSturgeon Yeah I’m really president trump and have u eating out the palm of my hand go to bed and don’t let the bedbugs bite.JF,0
@ohnonotphil @Cmacf76 @NicolaSturgeon No - you don't get to click your male fingers and boss me around.  That is literally all that can be implied by me refusing to do your bidding.  Go and take your pathetic sense of superiority elsewhere.,0
"@BostonDoug1 @RavMABAY @brycetache @djrothkopf @AOC @RashidaTlaib @RepPressley By 2030, we’ll be getting 80% of what we were promised. Everyone should plan accordingly.",0
@News_Letter @AllisonMorris1 @allianceparty @naomi_long,0
@notyoursweetbab @UnburntWitch I mean I agree with 95% of the stuff that he says but he is a big a******* the way he got banned from Magic the Gathering was because of sjws and most likely gender politics. Pandering and all that but his attitude is what makes him an asshat.,0
"@John_K_Lewis @UnburntWitch violence never makes me happy, but when you are protesting fascism, and provokers show up, it's not that hard for right wingers to provoke a few swings to show to your twitter followers and say ""see, the left are the real nazis""",0
@NicolaSturgeon And men are also the victim of  male violence. It's the male violence that is the problem.,0
@LibDemsRural @LibDems @normanlamb @GeorgeFreemanMP @NickBoles @SKinnock @LucyMPowell @EdwardJDavey @Tories4EFTA @L_EFTA @labourleave @EFTA4UK @NicolaSturgeon Happy to have this go to confirmatory vote if this means it gets through House of Commons. EEA/EFTA brexit vrs revoke + any necessary differences for NIR agreed by people NIR in a referendum. Plus this stops cliff edge brexit. Soft brexiteers &amp; #PeoplesVote need to work together,0
"@annes2739 @JessicaValenti Fortunately he looks to being retried, as an adult, as a result of this disposable judges actions.",0
"@liz6153 @ryanjjvance @InvisibleChoice @SofonisbaAngui7 @patrickharvie @agcolehamilton @kezdugdale @ChristinaSNP @NicolaSturgeon Of course they disagree with the label just like other protesters against Pride disagree with ""homophobes"".",0
"Anti-English racists outside the Tory hustings in Perth tonight.

Makes you proud to be Scottish.

@NicolaSturgeon https://t.co/OayfIHHE4u",0
@UnburntWitch Fall for what? Hoaxedabout what? What exactly is it that you’re using to justify violent assault?,0
@Toby1k @Snugglekins76 @KTMSays @RichTD5 @stephenfry @EverydaySexism I should clarify: when you’re accused and arrested,0
@JessicaValenti Only if they white,0
"@LawofTD It's 2019.
Whatever happened to that game @UnburntWitch was apparently making, that you were an extra in? https://t.co/v41QtgUBgn",0
"@randibarry @JessicaValenti Once retired he shouldn't be able to make rulings, period. This speaks of absolute corruption.",0
"@SharkFu @LydaKrewson Lyda played the veiled prophet threat, alluding to cut the oligarch money off.",0
@JessicaValenti @abradacabla *white boys can,0
"@13_moths @UnburntWitch I think that this might be the most wrong take of not only Batman and the Joker, but Antifa and the Alt-right. https://t.co/JqVg7eo79L",0
@SpacyTheStone @themetrobolist @LazyBunnyTDR @Metalyger @UnburntWitch no one threw cement and no one got a brain bleed,0
@YesWeCan_scot @TheHughMcMillan @NicolaSturgeon Are you suggesting that England can't import it from elsewhere? Have you considered that England imports from Scotland because of the Union?,0
"@Lunity8 @scrubby1966 @RidgeOnSunday @SophyRidgeSky @NicolaSturgeon Scotland is not subsidised in the first place. David Cameron himself admitted it. 

We would most probably have to cut our deficit, but you have no basis to suggest it would be as catastrophic as you are.",0
"@UnburntWitch That’s great and all but just cancel your game, please don’t lead the people who’ve financially invested in you on a string.

Just like with RebelJam",0
@travisalabanza Yes! I will be at @PqaVenues with #theperfectbody 2-26 August h12.30AM I am happy to have your feedback ☺️,0
@babybropatto @GraceBrodie @NicolaSturgeon Pity nobody taught her how to curtsy.  Embarassing!,0
"@UnburntWitch @KenReed323 i'm sure you are not, to be weird you need to be interesting and have an actual personality",0
@JessicaValenti Does that remind you of a certain Supreme Court judge?,0
"@JessicaValenti @mharvey816 Let’s be clear, it’s not just any “boys”.",0
"@mclemoremr @SharkFu @RJTheologian @LorettaJRoss @Womanist61 @monicarsimpson @doccrearperry @jessicaroach01 @BlkMamasMatter @CynthiaGreenlee @RBraceySherman To be fair, it’s not like @JohnJHarwood works for a major news organization and could reasonably be expected to do a quick google search before tweeti - oh. Oh, wait. Never mind.",0
@UnburntWitch How's Kickstarter been going? Anything else you can't deliver on like facts?,0
"@ScotNational who cares what @kezdugdale thinks about anything.  I wish her well for her future but her past has not been good for Scotland nor the Labour Party for her. 

I am glad she has chosen health and well being rather than cognitive dissonance in the ""no such thing as @scottishlabour """,0
"@UnburntWitch I don’t want to pry, but I think people are trolling you.

94 liked tweet with 2700 votes on the poll seems like a 4chan stunt.",0
"@randibarry @JessicaValenti He was brought in to ""help"" with the case, he is retired, how in tf!?",0
@AllisonMorris1 @irish_news Don on holidays.,0
Let’s not let the hard won victories of the last 20 years wither away. Nice mention by @kezdugdale of @shelterscotland call for an end to housing rights being routinely denied. https://t.co/hNjeuLJeSH,0
@Snugglekins76 @Toby1k @KTMSays @RichTD5 @stephenfry @EverydaySexism Right...I wasn’t accusing you of being misogynistic. Next straw man.,0
"@Zipper_Mishap @JessicaValenti @peterdaou Or, you know, actually prosecute the person who admitted to, and sent video evidence of himself committing, rape",0
@UnburntWitch I love them,0
"@edinburghpaper @NicolaSturgeon The ignorant growth at any cost mantra.🤦‍♂️
That's another positive step in the direction of aquaculture #ecocide, to use but one example, and that's before we even consider the #ClimateEmergency aspect to increasing exports. /@enoughscot",0
"@brycetache @ProudResister @AOC I'm an old white guy, keep up the good work @AOC #trumpforPrison",0
@magnusllewellin @NicolaSturgeon Does the Scottish govt fund these bigots in the Scottish charities? All this on the day Glasgows worst bigots are allowed to terrorise Catholics.,0
@JennyGilruth @ScotParl @tavishscott @kezdugdale Best of luck! ☺️,0
@StatGuyGreg @JessicaValenti Very true. And the reasons the judge gives for excusing him are coded with whiteness.,0
"@MatthewGellert @JessicaValenti @meganamram He doesn't think rape is a big deal. 
He doesn't think women are worth much.
He doesn't believe women, or animals, can feel pain, or trauma. 
And he doesn't believe humans should need other emotions but triumph.",0
"@KatrinaGilles20 @fran_and5 @NicolaSturgeon But she wasn't assaulted. You're making it up so it gets spread around, knowing that it doesn't matter that your story doesn't stand up to scrutiny we folk who want to believe it will ignore that.",0
@erika_rushton @Alison_McGovern @WirralCouncil @ThisGirlCanUK @EverydaySexism Yep agreed!!!! This isn’t on..Thanks for this Ali... We need to get this taken down ASAP and sort this #sexist advertising out pronto!! #womensport,0
@RealCandaceO @AOC This is one dumb women,1
@rickyt_ni @AllisonMorris1 @johnfinucane You know it's true,0
@weebod @craigcook62 @NicolaSturgeon @indyref2 How will you vote without a referendum Not gonny happen Once in a lifetime according to @NicolaSturgeon and think it will be,0
"@GENmag @JessicaValenti Not even going to bother reading, there is never an upside to being rude and disrespectful to anyone.",0
